method,block,target_step,branch,horizon,relative_l2,error_sq,target_sq,sample_count,row_count,mean_runtime_macs,mean_observable_macs
broyden2,28,4,1,3,0.5553913207737221,2378178.5810488644,7709856.344481888,4,4,251596800,0
broyden2,28,6,0,1,0.12507212018530928,108921.10239324775,6962913.569450749,4,4,131788800,0
broyden2,28,6,0,2,0.2282214419993067,362663.53839647956,6962913.569450749,4,4,263577600,0
broyden2,28,6,0,3,0.3759073274945137,983903.6850677506,6962913.569450749,4,4,395366400,0
broyden2,28,6,1,1,0.1747862291518451,216487.38144352962,7086277.598869856,4,4,131788800,0
broyden2,28,6,1,2,0.2667233456012743,504127.3058832305,7086277.598869856,4,4,263577600,0
broyden2,28,6,1,3,0.41289104828726325,1208061.6445999441,7086277.598869856,4,4,395366400,0
broyden2,29,4,0,1,0.06280769093343606,177520.13865308792,45000980.23464198,4,4,131788800,0
broyden2,29,4,0,2,0.11518635668319059,597068.3601196604,45000980.23464198,4,4,263577600,0
broyden2,29,4,0,3,0.3371457181332107,5115137.00706178,45000980.23464198,4,4,251596800,0
broyden2,29,4,1,1,0.07770216288399143,266762.31586904346,44183311.57084072,4,4,131788800,0
broyden2,29,4,1,2,0.12707370419458183,713460.0221733549,44183311.57084072,4,4,263577600,0
broyden2,29,4,1,3,0.3307543249351533,4833584.629238151,44183311.57084072,4,4,251596800,0
broyden2,29,6,0,1,0.042923629536367656,77077.52993286226,41834531.78894504,4,4,131788800,0
broyden2,29,6,0,2,0.08494084913018508,301833.9652264357,41834531.78894504,4,4,263577600,0
broyden2,29,6,0,3,0.12304427791566018,633370.3905370414,41834531.78894504,4,4,395366400,0
broyden2,29,6,1,1,0.06183966719133099,158775.44897421222,41519208.1613317,4,4,131788800,0
broyden2,29,6,1,2,0.09869930727663703,404461.5774874323,41519208.1613317,4,4,263577600,0
broyden2,29,6,1,3,0.1353402562912485,760506.7119811757,41519208.1613317,4,4,395366400,0
broyden4,20,4,0,1,0.36233643306873475,274310.42445220286,2089384.1831560656,4,4,179712000,0
broyden4,20,4,0,2,0.5514601469811822,635399.058841134,2089384.1831560656,4,4,263577600,0
broyden4,20,4,0,3,1.023344875741785,2188075.6907483796,2089384.1831560656,4,4,251596800,0
broyden4,20,4,1,1,0.38935929220401205,296325.27611920226,1954643.727781761,4,4,179712000,0
broyden4,20,4,1,2,0.5513127524677189,594105.6558436105,1954643.727781761,4,4,263577600,0
broyden4,20,4,1,3,0.9618926359116696,1808509.564710027,1954643.727781761,4,4,251596800,0
broyden4,20,6,0,1,0.24802940469104726,142048.31243997827,2309030.8574949875,4,4,227635200,0
broyden4,20,6,0,2,0.3999337068568691,369322.4890163789,2309030.8574949875,4,4,455270400,0
broyden4,20,6,0,3,0.5353485766261135,661763.8531257411,2309030.8574949875,4,4,539136000,0
broyden4,20,6,1,1,0.29110696285819826,190832.65079413506,2251891.6806094116,4,4,227635200,0
broyden4,20,6,1,2,0.4432094483923956,442349.4756271418,2251891.6806094116,4,4,455270400,0
broyden4,20,6,1,3,0.5526630795088969,687809.8670331659,2251891.6806094116,4,4,539136000,0
broyden4,21,4,0,1,0.46958498303040386,3494761.1482319697,15848534.10799962,4,4,179712000,0
