method,iteration,rank,block_size,sparse_kind,high_precision_params,relative_fro_error,activation_relative_l2,activation_cosine,spectral_error_proxy,best_activation_relative_l2_so_far,lowrank_norm,bcm_norm,sparse_norm,weight_key,shape,activation_source,lr16_budget_params,budget_ratio_vs_lr16
alternating_bcm_b256_svd_r13,1,13,256,none,49152,0.4931228458881378,0.49461281299591064,0.8953197002410889,1.5297781229019165,0.49461281299591064,12.407022476196289,1.6916923522949219,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,2,13,256,none,49152,0.49104487895965576,0.4924490749835968,0.8964552283287048,1.5288795232772827,0.4924490749835968,12.682074546813965,2.5675127506256104,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,3,13,256,none,49152,0.48992064595222473,0.4916066527366638,0.8970898389816284,1.523931622505188,0.4916066527366638,12.877862930297852,3.0416738986968994,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,0,8,0,row,49152,0.5026543736457825,0.5022580623626709,0.8924661874771118,1.606943130493164,0.5022580623626709,9.717698097229004,0.0,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,1,8,0,row,49152,0.4980383515357971,0.49786126613616943,0.8949457406997681,1.588905930519104,0.49786126613616943,9.892099380493164,0.0,2.9458420276641846,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,2,8,0,row,49152,0.49675092101097107,0.4950331747531891,0.896303117275238,1.5878665447235107,0.4950331747531891,10.113312721252441,0.0,3.6418986320495605,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,3,8,0,row,49152,0.49605292081832886,0.4942268133163452,0.8966172337532043,1.5905077457427979,0.4942268133163452,10.276507377624512,0.0,4.247086048126221,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,0,8,0,tile,49152,0.502708911895752,0.5057424306869507,0.8888206481933594,1.5795729160308838,0.5057424306869507,9.707555770874023,0.0,0.0,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,1,8,0,tile,49152,0.49818938970565796,0.5015846490859985,0.8912381529808044,1.5694704055786133,0.5015846490859985,9.86846923828125,0.0,3.0972001552581787,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,2,8,0,tile,49152,0.4972689151763916,0.49863749742507935,0.8927829265594482,1.5584722757339478,0.49863749742507935,10.085920333862305,0.0,3.3025474548339844,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_tilesparse_b32,3,8,0,tile,49152,0.4967060983181,0.4981605112552643,0.8927258253097534,1.5584269762039185,0.4981605112552643,10.254310607910156,0.0,3.3564088344573975,blocks.15.self_attn.o.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,0,16,0,none,167936,0.4863893389701843,0.49103251099586487,0.8932251334190369,2.6298487186431885,0.49103251099586487,33.61751174926758,0.0,0.0,blocks.15.ffn.0.weight,8960x1536,real:q,167936,1.0
