category,layer,rank,mode,count,relative_projection_error_mean,relative_projection_error_std,raw_reconstruction_error_mean,raw_reconstruction_error_std
high_change,23,8,history_centered,30,0.4602813803605121,0.04296529210112869,0.3721257920020271,0.04162454591497887
high_change,23,8,raw,30,0.3779146419192517,0.04025951928201799,0.3779146419192517,0.04025951928201799
high_change,7,1,history_centered,30,0.9585053333801464,0.010827568538361173,0.8900268196151996,0.022840004740439533
high_change,7,1,raw,30,0.91990230329098,0.02086202536103847,0.91990230329098,0.02086202536103847
high_change,7,16,history_centered,30,0.7382207528181624,0.033547534902402476,0.6858090528836421,0.04162006511972628
high_change,7,16,raw,30,0.6909920948267135,0.039604504109434946,0.6909920948267135,0.039604504109434946
high_change,7,2,history_centered,30,0.9304979279665528,0.015218657362994983,0.8641043603046108,0.027377927679463804
high_change,7,2,raw,30,0.8856754097363054,0.02192327787358133,0.8856754097363054,0.02192327787358133
high_change,7,32,history_centered,30,0.6597703669594072,0.03909436851489603,0.6130512467821874,0.04595998756013702
high_change,7,32,raw,30,0.6149989402404384,0.04373751768299231,0.6149989402404384,0.04373751768299231
high_change,7,4,history_centered,30,0.8855494050734565,0.022399973222860935,0.8224603418780049,0.03324052637930578
high_change,7,4,raw,30,0.839360521164085,0.0292152207169246,0.839360521164085,0.0292152207169246
high_change,7,64,history_centered,30,0.5824372124226771,0.04315945204688518,0.5413218007264108,0.049000176282297705
high_change,7,64,raw,30,0.5420196724455071,0.04735752152473445,0.5420196724455071,0.04735752152473445
high_change,7,8,history_centered,30,0.8216412664988189,0.028930111584481662,0.7632066855657066,0.038434488194214654
high_change,7,8,raw,30,0.7736521077298091,0.03588838206172304,0.7736521077298091,0.03588838206172304
object_motion,0,1,history_centered,30,0.9286980378281096,0.023904643066544048,0.821228649961572,0.05728877937034902
object_motion,0,1,raw,30,0.8632014396657289,0.056734217515574885,0.8632014396657289,0.056734217515574885
object_motion,0,16,history_centered,30,0.611580245208274,0.042459839624325646,0.5410409294141101,0.053639992081976624
object_motion,0,16,raw,30,0.5500044860043459,0.05363917586826532,0.5500044860043459,0.05363917586826532
object_motion,0,2,history_centered,30,0.8824009534910722,0.024757012521536326,0.7799120487465455,0.049575167446162256
object_motion,0,2,raw,30,0.8055232672730163,0.05810694601683348,0.8055232672730163,0.05810694601683348
object_motion,0,32,history_centered,30,0.481508665001176,0.03556765316471147,0.42596009711534266,0.04417676243716183
