method,schedule_family,schedule_action,schedule_cell_count,samples,speedup_geomean,speedup_mean,speedup_min,speedup_max,ssim_mean,ssim_min,ssim_p05,psnr_mean_db,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_fallbacks_mean,cache_refreshes_mean
c_s17-17_b18-20,single_cell,C,1,1,1.0004123926932693,1.0004123926932693,1.0004123926932693,1.0004123926932693,0.9660453384004384,0.9660453384004384,0.9660453384004384,34.47184717847255,0.0,6.0,6.0,0.0,6.0
c_s17-17_b21-23,single_cell,C,1,1,1.0006492076814189,1.0006492076814189,1.0006492076814189,1.0006492076814189,0.9704020987412074,0.9704020987412074,0.9704020987412074,35.06145487131614,0.0,6.0,6.0,0.0,6.0
c_s17-17_b24-26,single_cell,C,1,1,1.0004225924978283,1.0004225924978283,1.0004225924978283,1.0004225924978283,0.9702164873162845,0.9702164873162845,0.9702164873162845,34.98855994642294,0.0,6.0,6.0,0.0,6.0
c_s17-17_b27-29,single_cell,C,1,1,1.0013174871442991,1.0013174871442991,1.0013174871442991,1.0013174871442991,0.9702549262263861,0.9702549262263861,0.9702549262263861,34.94260547272921,0.0,6.0,6.0,0.0,6.0
c_s18-18_b00-02,single_cell,C,1,1,1.0004324897259542,1.0004324897259542,1.0004324897259542,1.0004324897259542,0.9628468733650212,0.9628468733650212,0.9628468733650212,33.3737066294657,0.0,6.0,6.0,0.0,6.0
c_s18-18_b03-05,single_cell,C,1,1,1.0016961431461773,1.0016961431461773,1.0016961431461773,1.0016961431461773,0.9676184648036935,0.9676184648036935,0.9676184648036935,34.42854147282056,0.0,6.0,6.0,0.0,6.0
c_s18-18_b06-08,single_cell,C,1,1,1.002569204106336,1.002569204106336,1.002569204106336,1.002569204106336,0.9688311849725786,0.9688311849725786,0.9688311849725786,34.80498804136812,0.0,6.0,6.0,0.0,6.0
c_s18-18_b09-11,single_cell,C,1,1,0.974652911017991,0.974652911017991,0.974652911017991,0.974652911017991,0.9697746218000761,0.9697746218000761,0.9697746218000761,34.81554885975144,0.0,6.0,6.0,0.0,6.0
c_s18-18_b12-14,single_cell,C,1,1,0.9954545138054919,0.9954545138054919,0.9954545138054919,0.9954545138054919,0.9658483210322006,0.9658483210322006,0.9658483210322006,34.06121365875636,0.0,6.0,6.0,0.0,6.0
c_s18-18_b15-17,single_cell,C,1,1,1.001066576587728,1.001066576587728,1.001066576587728,1.001066576587728,0.9628998015184507,0.9628998015184507,0.9628998015184507,33.5164774488388,0.0,6.0,6.0,0.0,6.0
