method,requested_token_budget,actual_critical_tokens,rank,metric,mean,std,min,max,count
token_topk_oracle,512,512,16,output_rel_l2,0.03880895139203252,0.02892702221140935,0.0007964698015712202,0.09685489535331726,12
token_topk_oracle,512,512,32,output_rel_l2,0.0321685412103155,0.02408519684738572,0.0007295972900465131,0.08081172406673431,12
token_topk_oracle,512,512,64,output_rel_l2,0.02675225678831339,0.019831613412242727,0.0006476417183876038,0.062242310494184494,12
token_topk_oracle,512,512,8,output_rel_l2,0.059064330411880896,0.05305280692119361,0.0008519576513208449,0.19126945734024048,12
token_topk_oracle,64,64,16,output_rel_l2,0.08727944378430645,0.05833011299176566,0.020053282380104065,0.19485211372375488,12
token_topk_oracle,64,64,32,output_rel_l2,0.07157701502243678,0.053422902829402485,0.01584712788462639,0.17275558412075043,12
token_topk_oracle,64,64,64,output_rel_l2,0.05842845048755407,0.04986517169358384,0.012153795920312405,0.15752862393856049,12
token_topk_oracle,64,64,8,output_rel_l2,0.12522357422858477,0.06985230643640195,0.04201044887304306,0.2530432939529419,12
block128_oracle,1024,1024,16,critical_mass,0.42221589914212626,0.3629861507097036,0.034966763108968735,0.9472663402557373,12
block128_oracle,1024,1024,32,critical_mass,0.42221589914212626,0.3629861507097036,0.034966763108968735,0.9472663402557373,12
block128_oracle,1024,1024,64,critical_mass,0.42221589914212626,0.3629861507097036,0.034966763108968735,0.9472663402557373,12
block128_oracle,1024,1024,8,critical_mass,0.42221589914212626,0.3629861507097036,0.034966763108968735,0.9472663402557373,12
block128_oracle,128,128,16,critical_mass,0.14290493602554002,0.17364320907809588,0.004460388794541359,0.5030688047409058,12
block128_oracle,128,128,32,critical_mass,0.14290493602554002,0.17364320907809588,0.004460388794541359,0.5030688047409058,12
block128_oracle,128,128,64,critical_mass,0.14290493602554002,0.17364320907809588,0.004460388794541359,0.5030688047409058,12
block128_oracle,128,128,8,critical_mass,0.14290493602554002,0.17364320907809588,0.004460388794541359,0.5030688047409058,12
block128_oracle,256,256,16,critical_mass,0.22457353964758417,0.25001528512652416,0.008876645006239414,0.6836501359939575,12
block128_oracle,256,256,32,critical_mass,0.22457353964758417,0.25001528512652416,0.008876645006239414,0.6836501359939575,12
