case,sample_id,prompt_index,seed,layer,sampling_step,timestep,branch,head,mask,logical_density,execution_density,exact_attention_mass_mean,output_relative_l2,defect_squared_norm,reference_squared_norm,query_output_nrmse_p95,query_output_nrmse_p99,query_cosine_p05,absolute_lse_error_p95,numerator_relative_l2_p95,static_sparse_head_gate
f81_l0_t1000_cond,,,,0,,1000,cond,8,s3_tfull,0.048220157623291016,0.06011082977056503,0.051959116011857986,1.5063655376434326,720.34375,317.45263671875,1.8969814777374268,1.989486813545227,0.04191853478550911,3.5163168907165527,0.9997916221618652,False
f81_l0_t1000_cond,,,,0,,1000,cond,8,s5_tfull,0.06212078407406807,0.07742274552583694,0.06666482985019684,1.2284129858016968,479.0357666015625,317.45263671875,1.6232868432998657,1.7471824884414673,0.1655428260564804,3.2343318462371826,0.9914015531539917,False
f81_l0_t1000_cond,,,,0,,1000,cond,8,s3_temporal_pm2,0.05906694009900093,0.07178950309753418,0.06417939811944962,1.2143558263778687,468.13494873046875,317.45263671875,1.5137029886245728,1.9510122537612915,0.1685243844985962,3.4618046283721924,0.9927268624305725,False
f81_l0_t1000_cond,,,,0,,1000,cond,8,s3_tfull_anchor12,0.0691748633980751,0.08589551597833633,0.072282575070858,0.9556823968887329,289.93865966796875,317.45263671875,1.377469778060913,1.495579719543457,0.31229445338249207,2.9788641929626465,0.974473774433136,False
f81_l0_t1000_cond,,,,0,,1000,cond,9,s3,0.012529350817203522,0.015228076837956905,0.019994286820292473,1.539698600769043,599.4571533203125,252.86387634277344,2.1939260959625244,2.540388584136963,0.16277696192264557,4.501552104949951,0.9958912134170532,False
f81_l0_t1000_cond,,,,0,,1000,cond,9,s5,0.026429980993270874,0.03253999724984169,0.04033626988530159,1.591846227645874,640.7504272460938,252.86387634277344,2.2406787872314453,2.3825061321258545,0.156105637550354,3.7690391540527344,0.9922791719436646,False
f81_l0_t1000_cond,,,,0,,1000,cond,9,s3_tfull,0.048220157623291016,0.06011082977056503,0.062033772468566895,1.0112931728363037,258.6073303222656,252.86387634277344,1.5796810388565063,1.8126147985458374,0.40386149287223816,3.302614212036133,0.9754832983016968,False
f81_l0_t1000_cond,,,,0,,1000,cond,9,s5_tfull,0.06212078407406807,0.07742274552583694,0.08237574994564056,0.7399294376373291,138.4418182373047,252.86387634277344,1.1326137781143188,1.3422613143920898,0.5637484788894653,3.006011486053467,0.9641420841217041,False
f81_l0_t1000_cond,,,,0,,1000,cond,9,s3_temporal_pm2,0.05906694009900093,0.07178950309753418,0.08780623972415924,0.8141297101974487,167.5998992919922,252.86387634277344,1.2155952453613281,1.7482112646102905,0.5161982178688049,3.1482632160186768,0.9655795097351074,False
f81_l0_t1000_cond,,,,0,,1000,cond,9,s3_tfull_anchor12,0.0691748633980751,0.08589551597833633,0.08138628304004669,0.8558298349380493,185.20884704589844,252.86387634277344,1.2892735004425049,1.6363682746887207,0.46839115023612976,2.9129703044891357,0.9589102268218994,False
