model,weight_key,role,block_index,control,block_size,method,target_scalar_density,actual_scalar_density,retained_energy,relative_fro_error
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,column_fft_topk_oracle,0.015625,0.015625,0.10448373379689412,0.9463172122513179
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,column_fft_lowfreq_static,0.015625,0.015625,0.050783846932798415,0.9742772465100484
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,fft2_topk_oracle,0.015625,0.015625,0.10088998816139995,0.9482141170846382
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,fft2_lowfreq_static,0.015625,0.015625,0.024831708977278186,0.9875060967015453
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,identity_topk_oracle,0.0625,0.0625,0.3449128640211275,0.8093745338092079
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,row_fft_topk_oracle,0.0625,0.0625,0.2662560169166029,0.8565885728185948
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,row_fft_lowfreq_static,0.0625,0.0625,0.06570219778287881,0.9665908142627475
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,column_fft_topk_oracle,0.0625,0.0625,0.2613475228154177,0.8594489380903222
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,column_fft_lowfreq_static,0.0625,0.0625,0.10207208563833718,0.9475905837236158
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,fft2_topk_oracle,0.0625,0.0625,0.25821252792465915,0.8612708471063797
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,fft2_lowfreq_static,0.0625,0.0625,0.06665959228051219,0.9660954444150369
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,identity_topk_oracle,0.125,0.125,0.513293210679653,0.6976437409741071
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,row_fft_topk_oracle,0.125,0.125,0.4168465729814311,0.7636448304143549
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,row_fft_lowfreq_static,0.125,0.125,0.132667826166372,0.9313067023454884
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,column_fft_topk_oracle,0.125,0.125,0.4111257373532214,0.767381432305199
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,column_fft_lowfreq_static,0.125,0.125,0.1622093801848125,0.915309029680789
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,fft2_topk_oracle,0.125,0.125,0.40599990395487845,0.7707140170290933
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,fft2_lowfreq_static,0.125,0.125,0.13930525307164088,0.9277363563687472
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,identity_topk_oracle,0.25,0.25,0.7241848937306742,0.525181022381165
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,row_fft_topk_oracle,0.25,0.25,0.621551036745172,0.6151820570000623
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,row_fft_lowfreq_static,0.25,0.25,0.2643847804709019,0.8576801382386665
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,column_fft_topk_oracle,0.25,0.25,0.620670541783239,0.6158972789489827
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,column_fft_lowfreq_static,0.25,0.25,0.27165710745938765,0.8534300747809468
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,fft2_topk_oracle,0.25,0.25,0.6095062386914893,0.6248950002268466
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,rowcol_shuffled,64,fft2_lowfreq_static,0.25,0.25,0.2586775580206611,0.8610008373859684
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,matched_gaussian,64,identity_topk_oracle,0.015625,0.015625,0.11742834022672628,0.9394528512774197
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,matched_gaussian,64,row_fft_topk_oracle,0.015625,0.015625,0.0788488571975223,0.9597661917375907
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,matched_gaussian,64,row_fft_lowfreq_static,0.015625,0.015625,0.01608573313181611,0.9919245268003931
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,matched_gaussian,64,column_fft_topk_oracle,0.015625,0.015625,0.07983611828911438,0.9592517301057557
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,matched_gaussian,64,column_fft_lowfreq_static,0.015625,0.015625,0.01878244942662594,0.9905642586795538
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,matched_gaussian,64,fft2_topk_oracle,0.015625,0.015625,0.07804031010681718,0.9601873202105841
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,1,matched_gaussian,64,fft2_lowfreq_static,0.015625,0.015625,0.018870318128950795,0.9905199048333402
