split,sampling_step,branch,layer,prediction,rank,records,local_mass_mean,basis_energy_mean,aggregate_full_output_relative_l2,aggregate_local_output_relative_l2,record_error_p95,record_error_max
calibration,9,cond,29,ridge_nonnegative,32,12,0.5110774803906679,0.98789943754673,0.003834078937230109,0.004107531132394799,0.011554631110026237,0.013173831490349766
calibration,9,cond,29,ridge_nonnegative,64,12,0.5110774803906679,0.9999999751647314,0.002730898943236102,0.002925670705379409,0.007426683856491872,0.01003510399619129
calibration,9,cond,29,ridge_nonnegative,8,12,0.5110774803906679,0.8991721024115881,0.01854133903875652,0.019863734833013076,0.05659669507474335,0.0617770964984365
test,0,cond,0,oracle_linear,16,24,0.33373808309746283,0.8329169452190399,0.041278868889337385,0.05560172644223943,0.08037208401581009,0.08332071872450081
test,0,cond,0,oracle_linear,32,24,0.33373808309746283,0.9999999155600866,0.034146962881499,0.04599520626547111,0.07014115488040873,0.07387577530874673
test,0,cond,0,oracle_linear,64,24,0.33373808309746283,0.9999999950329462,0.02912482924259864,0.03923050296182425,0.05739927730913743,0.06019254223493191
test,0,cond,0,oracle_linear,8,24,0.33373808309746283,0.6715933755040169,0.04976876471996282,0.06703742897476399,0.08691518333429739,0.08838094873794883
test,0,cond,0,oracle_nonnegative,16,24,0.33373808309746283,0.8329169452190399,0.04127866227681774,0.055601448139730045,0.08037214074508722,0.08332112210574479
test,0,cond,0,oracle_nonnegative,32,24,0.33373808309746283,0.9999999155600866,0.03414003934350333,0.045985880412413464,0.07014310186225041,0.07387597717557992
test,0,cond,0,oracle_nonnegative,64,24,0.33373808309746283,0.9999999950329462,0.02909792983933211,0.039194270058594875,0.05739411863660524,0.0602047254411687
test,0,cond,0,oracle_nonnegative,8,24,0.33373808309746283,0.6715933755040169,0.04976932852464297,0.06703818840723964,0.08691529691066532,0.08838087822118752
test,0,cond,0,ridge_linear,16,24,0.33373808309746283,0.8329169452190399,0.10209917783973345,0.1375253418750724,0.1389375865300777,0.14162086835904497
test,0,cond,0,ridge_linear,32,24,0.33373808309746283,0.9999999155600866,0.10276728596321176,0.13842526878961717,0.14044435562124236,0.14341734855655985
test,0,cond,0,ridge_linear,64,24,0.33373808309746283,0.9999999950329462,0.10276721301559474,0.1384251705307851,0.14044406308246304,0.14341697313296523
test,0,cond,0,ridge_linear,8,24,0.33373808309746283,0.6715933755040169,0.10041473585450557,0.1352564356528223,0.13744414263022015,0.14031811045952017
test,0,cond,0,ridge_nonnegative,16,24,0.33373808309746283,0.8329169452190399,0.10209429339564992,0.1375187626365646,0.1389384764051896,0.14162192020140377
test,0,cond,0,ridge_nonnegative,32,24,0.33373808309746283,0.9999999155600866,0.10276272663492686,0.13841912747492327,0.14044821633409232,0.1434219119603466
test,0,cond,0,ridge_nonnegative,64,24,0.33373808309746283,0.9999999950329462,0.10276265193093992,0.13841902685029964,0.14044791671437412,0.143421528206205
test,0,cond,0,ridge_nonnegative,8,24,0.33373808309746283,0.6715933755040169,0.10040946285024145,0.13524933303231668,0.13744614085119977,0.14032045962932851
test,0,cond,14,oracle_linear,16,24,0.09431128033126394,0.828634724020958,0.10818626494209091,0.5531930391820321,0.21944498245104094,0.23994225209786005
test,0,cond,14,oracle_linear,32,24,0.09431128033126394,0.9504514088233312,0.09423389437521693,0.48184983973047163,0.1826524955878716,0.19079176544550222
test,0,cond,14,oracle_linear,64,24,0.09431128033126394,0.9999999652306238,0.07511097062866541,0.38406784946522354,0.1311932935319921,0.13470048586980854
test,0,cond,14,oracle_linear,8,24,0.09431128033126394,0.6724352836608887,0.12198931093053042,0.6237726914549098,0.2632057423570487,0.2959354661869143
test,0,cond,14,oracle_nonnegative,16,24,0.09431128033126394,0.828634724020958,0.10846007945667446,0.5545931455964249,0.22181640953666326,0.24080537931749443
test,0,cond,14,oracle_nonnegative,32,24,0.09431128033126394,0.9504514088233312,0.09577024686465987,0.4897057307102069,0.18845012618716295,0.19670039833948036
test,0,cond,14,oracle_nonnegative,64,24,0.09431128033126394,0.9999999652306238,0.07932030986197267,0.40559162759609646,0.14236137471445437,0.1578632425505328
test,0,cond,14,oracle_nonnegative,8,24,0.09431128033126394,0.6724352836608887,0.12180857726356394,0.6228485389613819,0.26316260229537264,0.2954177495044875
test,0,cond,14,ridge_linear,16,24,0.09431128033126394,0.828634724020958,0.14565125952902463,0.7447642541562984,0.33389235352496816,0.3632104253942025
test,0,cond,14,ridge_linear,32,24,0.09431128033126394,0.9504514088233312,0.14680145959232582,0.7506456169062329,0.33666637993682347,0.3740695768839828
test,0,cond,14,ridge_linear,64,24,0.09431128033126394,0.9999999652306238,0.14664024013695562,0.7498212471903613,0.33504449021880967,0.37643439850907806
test,0,cond,14,ridge_linear,8,24,0.09431128033126394,0.6724352836608887,0.14708864993543175,0.7521141184652019,0.34085436731761026,0.3696536228507315
test,0,cond,14,ridge_nonnegative,16,24,0.09431128033126394,0.828634724020958,0.1438075265594726,0.7353366226042475,0.3200120896263925,0.35126748927389134
test,0,cond,14,ridge_nonnegative,32,24,0.09431128033126394,0.9504514088233312,0.14656956922725434,0.7494598828772452,0.3234528794589115,0.36403900855296123
