split,head_role,prediction,rank,records,local_mass_mean,basis_energy_mean,aggregate_full_output_relative_l2,aggregate_local_output_relative_l2,record_error_p95,record_error_max
validation,diffuse,ridge_nonnegative,32,61,0.11650452644518408,0.9585245359139364,0.022646582653214196,0.09582257606159797,0.04566607980142579,0.06245928716820623
validation,diffuse,ridge_nonnegative,64,61,0.11650452644518408,0.999999966777739,0.0036609367501424213,0.015490213051964945,0.006425051587908439,0.00873778670255341
validation,diffuse,ridge_nonnegative,8,61,0.11650452644518408,0.6585118926939417,0.07097997938899286,0.3003316031386793,0.14366675617969785,0.17708196455601338
validation,localized,oracle_linear,16,29,0.919585264962295,0.9868548656332081,0.018098260626585084,0.018752916851344517,0.08559598499927862,0.14131347938051153
validation,localized,oracle_linear,32,29,0.919585264962295,0.9987860527531854,0.005206906555750815,0.005395252489031043,0.02821798450641224,0.04299664640939469
validation,localized,oracle_linear,64,29,0.919585264962295,0.9999999773913416,1.1862685015466688e-05,1.2291785952179249e-05,2.1832375220196185e-05,5.313367388669342e-05
validation,localized,oracle_linear,8,29,0.919585264962295,0.9516156685763392,0.03318029569054293,0.03438050423883098,0.16400876618570337,0.23656632823890286
validation,localized,oracle_nonnegative,16,29,0.919585264962295,0.9868548656332081,0.0178840836955738,0.01853099264207377,0.08619926738742036,0.13807500610596424
validation,localized,oracle_nonnegative,32,29,0.919585264962295,0.9987860527531854,0.005401215559722325,0.0055965901020828025,0.029328234932992737,0.04478561014362599
validation,localized,oracle_nonnegative,64,29,0.919585264962295,0.9999999773913416,1.8277418816222867e-05,1.8938555609832696e-05,2.29581294403966e-05,8.911062882083501e-05
validation,localized,oracle_nonnegative,8,29,0.919585264962295,0.9516156685763392,0.03283043551660415,0.03401798880782689,0.1631666834752021,0.23297899632812197
validation,localized,ridge_linear,16,29,0.919585264962295,0.9868548656332081,0.019276998059494066,0.01997429196163766,0.08723838533015725,0.1427165054868426
validation,localized,ridge_linear,32,29,0.919585264962295,0.9987860527531854,0.007948330781514645,0.0082358404118557,0.03199434361918539,0.045894706132394596
validation,localized,ridge_linear,64,29,0.919585264962295,0.9999999773913416,0.0056861721297907794,0.005891854214750538,0.01337266279313033,0.015323844973834704
validation,localized,ridge_linear,8,29,0.919585264962295,0.9516156685763392,0.03375779441639598,0.034978892438179345,0.16498418097081208,0.23703830587375385
validation,localized,ridge_nonnegative,16,29,0.919585264962295,0.9868548656332081,0.019096878940606233,0.01978765751485114,0.08788750189616322,0.1396734863409679
validation,localized,ridge_nonnegative,32,29,0.919585264962295,0.9987860527531854,0.008065894501359427,0.008357656685169029,0.032919552316007586,0.04740689610753002
validation,localized,ridge_nonnegative,64,29,0.919585264962295,0.9999999773913416,0.00568056105955529,0.005886040179040464,0.013374773176944642,0.015468444672906957
validation,localized,ridge_nonnegative,8,29,0.919585264962295,0.9516156685763392,0.03341315675828918,0.03462178843356438,0.1641835554695381,0.2333699107661473
validation,transitional,oracle_linear,16,18,0.4912678533130222,0.8955657614601983,0.075201479142451,0.12078834828081743,0.1464144798982353,0.20534963771919923
validation,transitional,oracle_linear,32,18,0.4912678533130222,0.9809204075071547,0.031070507589982532,0.04990533876244011,0.06404129879093692,0.09346210770379783
validation,transitional,oracle_linear,64,18,0.4912678533130222,0.9999999966886308,1.6367642540465066e-05,2.6289649223104122e-05,2.768336023201167e-05,4.0319723906566105e-05
validation,transitional,oracle_linear,8,18,0.4912678533130222,0.7731946176952786,0.11787102012502243,0.18932401321664238,0.25305430860500977,0.27346387439696607
validation,transitional,oracle_nonnegative,16,18,0.4912678533130222,0.8955657614601983,0.07605606443616833,0.1221609801395294,0.14787283308067967,0.208386314685625
validation,transitional,oracle_nonnegative,32,18,0.4912678533130222,0.9809204075071547,0.032937453072567215,0.05290401995519395,0.06707812903224476,0.10085978066111487
validation,transitional,oracle_nonnegative,64,18,0.4912678533130222,0.9999999966886308,2.16672967552621e-05,3.48019349701999e-05,3.096265389667284e-05,6.244949697574621e-05
validation,transitional,oracle_nonnegative,8,18,0.4912678533130222,0.7731946176952786,0.11775783070721879,0.18914220877642024,0.2523963008025442,0.2725881787516287
validation,transitional,ridge_linear,16,18,0.4912678533130222,0.8955657614601983,0.07638642970215156,0.12269161165452766,0.14760477598441726,0.20772329679106016
validation,transitional,ridge_linear,32,18,0.4912678533130222,0.9809204075071547,0.03291891183712185,0.05287423908877922,0.0662599348134025,0.09709720183883862
validation,transitional,ridge_linear,64,18,0.4912678533130222,0.9999999966886308,0.008290414163467845,0.013316033737478665,0.011904848894747085,0.013141201261173446
validation,transitional,ridge_linear,8,18,0.4912678533130222,0.7731946176952786,0.11856254761804252,0.19043474221592774,0.2532943286450436,0.2749001772357127
validation,transitional,ridge_nonnegative,16,18,0.4912678533130222,0.8955657614601983,0.07711697122970275,0.12386500485729036,0.14881723112772946,0.2103177567844962
validation,transitional,ridge_nonnegative,32,18,0.4912678533130222,0.9809204075071547,0.03471971016812409,0.05576667496196973,0.06923170787546629,0.10406461909656993
validation,transitional,ridge_nonnegative,64,18,0.4912678533130222,0.9999999966886308,0.008384462981371266,0.01346709461423082,0.012665911876962987,0.013214078883537003
validation,transitional,ridge_nonnegative,8,18,0.4912678533130222,0.7731946176952786,0.11841985818411555,0.19020555495475008,0.25276824704723816,0.2742075698820267
