candidate_role,selection_scope,evaluation_scope,method,correction,rank,layer,head,aggregate_error_percent,worst_error_percent,passes_0p5_1p0_gate,minimum_arithmetic_reduction,records
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,29,10,0.32070087651385637,0.3443583380430937,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,29,11,0.30199829099797193,0.36734803579747677,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,0,0,0.8322471407735151,1.3644732534885406,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,0,1,1.0517098522147161,1.2128760106861591,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,0,2,1.2090507793272005,1.7634997144341469,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,0,3,0.762340632290978,0.9210901334881783,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,0,4,0.24805847936530295,0.26046133134514093,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,0,5,0.14058264412968363,0.14480259269475937,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,0,6,0.31965210383072395,0.5206569563597441,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,0,7,1.229423741786565,1.689111813902855,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,0,8,0.9058455762407099,1.5475141815841198,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,0,9,0.760341624637775,1.0828920640051365,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,0,10,0.37068975371499213,0.5426659248769283,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,0,11,0.19387356378646944,0.22507677786052227,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,14,0,4.806579478655432,6.747294217348099,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,14,1,11.697922191146116,13.930071890354156,False,1.5,16
