layer,split,method,codec,predictor,selected_fraction,index_bits,group_dim,nominal_bps,codebook_static_bits,codebook_sha256,mse,nmse,mean_cosine,p05_cosine,payload_bits,metadata_bits,payload_bps,effective_bps,index_entropy,index_entropy_bps,residual_top10_energy
22,val,residual_pq,pq_0p5b_k16_d8,ema_075,0.5,4,8,0.375,2048,edf573e12aded282f9f61387ea46717c0ad474817e8e9e42c4556fbefefd11e9,0.000554053064046721,0.5673503388692542,0.6885387969568582,-0.05621191549331481,634880.0,154880.0,0.6025390625,0.6041015625,2.984701455605714,0.31154384097535714,0.33848170965054214
22,val,residual_pq,pq_0p5b_k16_d8,ema_075,1.0,4,8,0.5,2048,edf573e12aded282f9f61387ea46717c0ad474817e8e9e42c4556fbefefd11e9,0.00045686212083690606,0.4678268127969192,0.7471155512407502,0.1400711630487956,942080.0,1280.0,0.7197265625,0.7212890625,2.6062090247930048,0.3257761280991256,0.33716116477808106
22,test,raw_pq,pq_0p5b_k16_d8,,1.0,4,8,0.5,2048,b2dbaa51bf0b0e830fab78d3c754baf19a241a31da65f3ca6adc9c12e744c820,0.0006119020673324439,0.62658771711127,0.610539637769236,0.5478853872491892,1310720.0,0.0,0.5,0.50078125,3.8433148921214806,0.4804143615151851,0.11740890779803244
22,test,residual_pq,pq_0p5b_k16_d8,ema_075,0.25,4,8,0.25,2048,edf573e12aded282f9f61387ea46717c0ad474817e8e9e42c4556fbefefd11e9,0.0007129910360812837,0.7301028211369852,0.6053018585813742,-0.15343388091793364,962560.0,309760.0,0.4853515625,0.4861328125,2.883285572149692,0.21510267412967787,0.2950680472189889
22,test,residual_pq,pq_0p5b_k16_d8,ema_075,0.5,4,8,0.375,2048,edf573e12aded282f9f61387ea46717c0ad474817e8e9e42c4556fbefefd11e9,0.0005738444671723093,0.5876167345371638,0.6772001970821171,0.031113936487884627,1269760.0,309760.0,0.6025390625,0.6033203125,2.693532321843983,0.2933457701152489,0.30510456396915003
22,test,residual_pq,pq_0p5b_k16_d8,ema_075,1.0,4,8,0.5,2048,edf573e12aded282f9f61387ea46717c0ad474817e8e9e42c4556fbefefd11e9,0.00047285245172642667,0.4842009106937027,0.7389981694214874,0.21200586856665732,1884160.0,2560.0,0.7197265625,0.7205078125,2.355896727446955,0.2944870909308694,0.30993396395620076
22,val,raw_pq,pq_1b_k16_d4,,1.0,4,4,1.0,1024,776aa16bf68a7cc4c1b34fb59c09d8662af012c7b281b7c885c4424c3df893f2,0.0003729948027076459,0.3819466788379832,0.786476096039738,0.7591537171123023,1310720.0,0.0,1.0,1.00078125,3.84449597404901,0.9611239935122525,0.11402271129357304
22,val,residual_pq,pq_1b_k16_d4,ema_075,0.25,4,4,0.5,1024,1e58eec0a5041728f221d898eca36488e6e14c2077eef766604527c6c83715d2,0.00046849971176561383,0.47974370593491533,0.7314579973469991,-0.016350667362027747,634880.0,308480.0,0.7197265625,0.7205078125,3.5736124858086247,0.473350780363039,0.36689917033302794
22,val,residual_pq,pq_1b_k16_d4,ema_075,0.5,4,4,0.75,1024,1e58eec0a5041728f221d898eca36488e6e14c2077eef766604527c6c83715d2,0.00032816342227593527,0.33603934517190204,0.8134468550309986,0.2834889989985478,942080.0,308480.0,0.9541015625,0.9548828125,3.40425543094133,0.6755319288676662,0.3920974938080538
22,val,residual_pq,pq_1b_k16_d4,ema_075,1.0,4,4,1.0,1024,1e58eec0a5041728f221d898eca36488e6e14c2077eef766604527c6c83715d2,0.00025259215862550194,0.2586543710185318,0.8599119759086683,0.46478593628789056,1556480.0,1280.0,1.1884765625,1.1892578125,3.001613501357788,0.750403375339447,0.39439802057961026
22,test,raw_pq,pq_1b_k16_d4,,1.0,4,4,1.0,1024,776aa16bf68a7cc4c1b34fb59c09d8662af012c7b281b7c885c4424c3df893f2,0.0003816506951602156,0.39081031194563076,0.7808055943173808,0.7262426430504387,2621440.0,0.0,1.0,1.000390625,3.837695878567078,0.9594239696417695,0.1271921928573344
22,test,residual_pq,pq_1b_k16_d4,ema_075,0.25,4,4,0.5,1024,1e58eec0a5041728f221d898eca36488e6e14c2077eef766604527c6c83715d2,0.00048002137528333524,0.49154188841788493,0.7247297639419312,0.10211142619097545,1269760.0,616960.0,0.7197265625,0.7201171875,3.332444579671855,0.45827778622949095,0.33612138290045585
22,test,residual_pq,pq_1b_k16_d4,ema_075,0.5,4,4,0.75,1024,1e58eec0a5041728f221d898eca36488e6e14c2077eef766604527c6c83715d2,0.0003346014809171017,0.3426319165481607,0.8108193368238445,0.33922541992925137,1884160.0,616960.0,0.9541015625,0.9544921875,3.1534971250669166,0.6441871406333646,0.3669457778244634
22,test,residual_pq,pq_1b_k16_d4,ema_075,1.0,4,4,1.0,1024,1e58eec0a5041728f221d898eca36488e6e14c2077eef766604527c6c83715d2,0.0002572410901276874,0.2634148763592123,0.8583571893570481,0.5079436516997454,3112960.0,2560.0,1.1884765625,1.1888671875,2.75632707917619,0.6890817697940474,0.3763550036503461
22,val,raw_pq,pq_1p5b_k64_d4,,1.0,6,4,1.5,4096,cec18ec0415f3a3a7f2d00f2f843fe0e4df268c5fb756975680dd9ea59456ddc,0.00019906811217281577,0.20384574732680452,0.8918967922870114,0.8399116904221212,1966080.0,0.0,1.5,1.503125,5.858217629493229,1.4645544073733072,0.16300564544207966
22,val,residual_pq,pq_1p5b_k64_d4,ema_075,0.25,6,4,0.625,4096,abd2ec26f05712913141dc5f613d58efd1b738d245fe3adee6af3097c6c9e61e,0.00036126161545499104,0.3699318950640435,0.7938147965096601,0.16208678794709058,788480.0,308480.0,0.8369140625,0.8400390625,5.802770918331619,0.6126731823957262,0.39556142050049187
22,val,residual_pq,pq_1p5b_k64_d4,ema_075,0.5,6,4,1.0,4096,abd2ec26f05712913141dc5f613d58efd1b738d245fe3adee6af3097c6c9e61e,0.0002232319933816682,0.22858956174072997,0.8740001886730407,0.4601460548625035,1249280.0,308480.0,1.1884765625,1.1916015625,5.704419140181992,0.963052392522749,0.43957526116014445
22,val,residual_pq,pq_1p5b_k64_d4,ema_075,1.0,6,4,1.5,4096,abd2ec26f05712913141dc5f613d58efd1b738d245fe3adee6af3097c6c9e61e,0.00014132790266059429,0.14471977265233152,0.9217388952191745,0.6542042561397003,2170880.0,1280.0,1.6572265625,1.6603515625,5.4640092443623125,1.3660023110905781,0.4702785402704142
22,test,raw_pq,pq_1p5b_k64_d4,,1.0,6,4,1.5,4096,cec18ec0415f3a3a7f2d00f2f843fe0e4df268c5fb756975680dd9ea59456ddc,0.00021110402327533507,0.21617051989012492,0.884547314244584,0.8165279121852748,3932160.0,0.0,1.5,1.5015625,5.841493475765331,1.4603733689413327,0.1773155334399554
22,test,residual_pq,pq_1p5b_k64_d4,ema_075,0.25,6,4,0.625,4096,abd2ec26f05712913141dc5f613d58efd1b738d245fe3adee6af3097c6c9e61e,0.0003619672754375322,0.3706544901443645,0.793220351842433,0.2648842074184607,1576960.0,616960.0,0.8369140625,0.8384765625,5.500417783664098,0.5937761114790061,0.36988620370074987
