operator,group,normalization,index,eigenvalue,above_spike_threshold,series,spike_threshold,eigenvalue_over_threshold
C_FORECAST_1,all_blocks,channel_standardized,78,3.1259396076202397,1,F1.00 std,2.0537760185117304,1.5220450426164063
C_FORECAST_1,all_blocks,channel_standardized,79,3.0969676971435547,1,F1.00 std,2.0537760185117304,1.5079383872579122
C_FORECAST_1,all_blocks,channel_standardized,80,3.0861401557922363,1,F1.00 std,2.0537760185117304,1.5026663706145567
C_FORECAST_1,all_blocks,channel_standardized,81,3.0541133880615234,1,F1.00 std,2.0537760185117304,1.4870722807809822
C_FORECAST_1,all_blocks,channel_standardized,82,3.0359158515930176,1,F1.00 std,2.0537760185117304,1.4782117544604476
C_FORECAST_1,all_blocks,channel_standardized,83,3.028417587280273,1,F1.00 std,2.0537760185117304,1.4745607894841508
C_FORECAST_1,all_blocks,channel_standardized,84,3.0151259899139404,1,F1.00 std,2.0537760185117304,1.4680890042229886
C_FORECAST_1,all_blocks,channel_standardized,85,2.9946084022521973,1,F1.00 std,2.0537760185117304,1.4580988263862587
C_FORECAST_1,all_blocks,channel_standardized,86,2.9742016792297363,1,F1.00 std,2.0537760185117304,1.4481626294307364
C_FORECAST_1,all_blocks,channel_standardized,87,2.9575207233428955,1,F1.00 std,2.0537760185117304,1.440040538347538
C_FORECAST_1,all_blocks,channel_standardized,88,2.9410643577575684,1,F1.00 std,2.0537760185117304,1.4320278020817536
C_FORECAST_1,all_blocks,channel_standardized,89,2.916809320449829,1,F1.00 std,2.0537760185117304,1.4202178300647876
C_FORECAST_1,all_blocks,channel_standardized,90,2.9003734588623047,1,F1.00 std,2.0537760185117304,1.4122150773598288
C_FORECAST_1,all_blocks,channel_standardized,91,2.867824077606201,1,F1.00 std,2.0537760185117304,1.396366522813121
C_FORECAST_1,all_blocks,channel_standardized,92,2.8560595512390137,1,F1.00 std,2.0537760185117304,1.390638280657624
C_FORECAST_1,all_blocks,channel_standardized,93,2.8543481826782227,1,F1.00 std,2.0537760185117304,1.389805001592446
C_FORECAST_1,all_blocks,channel_standardized,94,2.8492307662963867,1,F1.00 std,2.0537760185117304,1.3873132905510714
C_FORECAST_1,all_blocks,channel_standardized,95,2.8325514793396,1,F1.00 std,2.0537760185117304,1.3791920120832892
C_FORECAST_1,all_blocks,channel_standardized,96,2.818696975708008,1,F1.00 std,2.0537760185117304,1.372446143251092
C_FORECAST_1,all_blocks,channel_standardized,97,2.790024518966675,1,F1.00 std,2.0537760185117304,1.358485294315817
C_FORECAST_1,all_blocks,channel_standardized,98,2.78040075302124,1,F1.00 std,2.0537760185117304,1.3537994055632503
C_FORECAST_1,all_blocks,channel_standardized,99,2.767603635787964,1,F1.00 std,2.0537760185117304,1.3475683866410657
C_FORECAST_1,all_blocks,channel_standardized,100,2.7589070796966557,1,F1.00 std,2.0537760185117304,1.3433339637960613
C_FORECAST_1,all_blocks,channel_standardized,101,2.738637924194336,1,F1.00 std,2.0537760185117304,1.3334647495684027
C_FORECAST_1,all_blocks,channel_standardized,102,2.7309932708740234,1,F1.00 std,2.0537760185117304,1.3297425066113289
C_FORECAST_1,all_blocks,channel_standardized,103,2.7126624584198,1,F1.00 std,2.0537760185117304,1.3208170871454288
C_FORECAST_1,all_blocks,channel_standardized,104,2.7031338214874268,1,F1.00 std,2.0537760185117304,1.316177517471576
C_FORECAST_1,all_blocks,channel_standardized,105,2.6851632595062256,1,F1.00 std,2.0537760185117304,1.307427506847621
C_FORECAST_1,all_blocks,channel_standardized,106,2.676079511642456,1,F1.00 std,2.0537760185117304,1.3030045572260982
C_FORECAST_1,all_blocks,channel_standardized,107,2.659653902053833,1,F1.00 std,2.0537760185117304,1.2950067963015521
C_FORECAST_1,all_blocks,channel_standardized,108,2.649935722351074,1,F1.00 std,2.0537760185117304,1.2902749367340218
C_FORECAST_1,all_blocks,channel_standardized,109,2.6357526779174805,1,F1.00 std,2.0537760185117304,1.283369098752784
C_FORECAST_1,all_blocks,channel_standardized,110,2.62394642829895,1,F1.00 std,2.0537760185117304,1.2776205412118864
C_FORECAST_1,all_blocks,channel_standardized,111,2.605852603912353,1,F1.00 std,2.0537760185117304,1.268810513135062
C_FORECAST_1,all_blocks,channel_standardized,112,2.592827796936035,1,F1.00 std,2.0537760185117304,1.2624686302525476
C_FORECAST_1,all_blocks,channel_standardized,113,2.5857362747192383,1,F1.00 std,2.0537760185117304,1.2590157112619287
C_FORECAST_1,all_blocks,channel_standardized,114,2.580077171325684,1,F1.00 std,2.0537760185117304,1.256260248474095
C_FORECAST_1,all_blocks,channel_standardized,115,2.566506147384644,1,F1.00 std,2.0537760185117304,1.2496524081747062
