layer,endpoint,scheduler_index,timestep,method,velocity_relative_l2,velocity_mean_relative_l2,velocity_p95_relative_l2,activation_relative_l2,rank8_energy,coefficient_r2
6,1,22,77,state_noise_skip1,0.005998612122204684,0.0056241159327328205,0.01126887472346425,0.06421342594495821,0.9155708816067896,0.9987953777750304
6,1,22,77,state_noise_skip2,0.006066766641970894,0.00568087724968791,0.010878931218758225,0.06455027335042786,0.9155708816067896,0.9943029494824815
6,1,22,77,state_noise_skip4,0.006193332552968354,0.005762849003076553,0.010368212498724461,0.06557841286349034,0.9155708816067896,0.9804455742903139
7,1,22,77,raw_reuse,0.029986699961716788,0.02884697914123535,0.04307839348912239,0.12347274855563081,0.9727023190006465,nan
7,1,22,77,shift_reuse,0.030885522521058372,0.030143296346068382,0.04385404344648122,0.1459037832216898,0.9727023190006465,nan
7,1,22,77,shift_local_r2,0.015859961374613662,0.015188202261924744,0.024820565711706877,0.12236615290151552,0.9727023190006465,nan
7,1,22,77,shift_rank8_oracle,0.004645460241422094,0.004418042954057455,0.009321378776803613,0.02410623745793062,0.9727023190006465,nan
7,1,22,77,state_skip1,0.004756153859615864,0.0045179640874266624,0.009758819406852125,0.024269758260013253,0.9727023190006465,0.9995649594182862
7,1,22,77,state_skip2,0.004956932159061538,0.004710450768470764,0.009967687493190169,0.024800081934666058,0.9727023190006465,0.9981338267229749
7,1,22,77,state_skip4,0.005403785371130222,0.005124817136675119,0.01037125471048057,0.026116880113363012,0.9727023190006465,0.9944465464861074
7,1,22,77,state_noise_skip1,0.004697011011763868,0.004473492968827486,0.009673680178821085,0.02424951248409796,0.9727023190006465,0.9996189812168859
7,1,22,77,state_noise_skip2,0.004833394956786136,0.004617962520569563,0.00965454988181591,0.02471965829706276,0.9727023190006465,0.9983528475861938
7,1,22,77,state_noise_skip4,0.005150933767865399,0.004943422507494688,0.009682651935145259,0.025887105679546423,0.9727023190006465,0.9951036927307283
0,2,33,66,raw_reuse,0.5810491043554576,0.5567005276679993,0.8571984112262726,0.5407003798729513,0.9330759928349748,nan
0,2,33,66,shift_reuse,0.5548157878988516,0.5353230237960815,0.8575172662734984,0.5390521765940423,0.9330759928349748,nan
0,2,33,66,shift_local_r2,0.2988416343112712,0.2774408757686615,0.5713397771120071,0.40360622465202073,0.9330759928349748,nan
0,2,33,66,shift_rank8_oracle,0.030955108897546803,0.02574443258345127,0.06068753972649574,0.13945105833337557,0.9330759928349748,nan
0,2,33,66,state_skip1,0.03089478665969058,0.02566027082502842,0.06068430840969085,0.13946576574403968,0.9330759928349748,0.9999836818779346
0,2,33,66,state_skip2,0.030887151343878066,0.025643041357398033,0.060885418578982345,0.13950506210690783,0.9330759928349748,0.9999400741920047
0,2,33,66,state_skip4,0.03103492118883856,0.02580055594444275,0.061801910959184164,0.13965527235258757,0.9330759928349748,0.999773295716169
0,2,33,66,state_noise_skip1,0.03098163612501813,0.025802014395594597,0.060959729924798006,0.13946531965529713,0.9330759928349748,0.9999841722538082
0,2,33,66,state_noise_skip2,0.03105708126068706,0.02591862343251705,0.061423571780323975,0.13950511617827058,0.9330759928349748,0.9999400203240046
0,2,33,66,state_noise_skip4,0.03138739244545976,0.026350880041718483,0.06284329779446124,0.1396633289856352,0.9330759928349748,0.9997643555835841
1,2,33,66,raw_reuse,0.04440344755083436,0.04372110962867737,0.07098623290657997,0.44727178645547944,0.7841751075093812,nan
1,2,33,66,shift_reuse,0.03320948363443642,0.031675297766923904,0.05636017452925444,0.44504468091170035,0.7841751075093812,nan
1,2,33,66,shift_local_r2,0.013499290603852397,0.012865331955254078,0.023895996436476708,0.29881199446425105,0.7841751075093812,nan
1,2,33,66,shift_rank8_oracle,0.006085275538116984,0.005598238203674555,0.010139204887673257,0.2067542194526201,0.7841751075093812,nan
1,2,33,66,state_skip1,0.006065958891747743,0.005578311625868082,0.01013389560393989,0.2067689554738037,0.7841751075093812,0.9999497055063743
1,2,33,66,state_skip2,0.006042918722736803,0.005554795265197754,0.010133087588474154,0.2068129553361133,0.7841751075093812,0.999799442154927
1,2,33,66,state_skip4,0.00601671849144763,0.005526619032025337,0.01013323594816029,0.20698298634977016,0.7841751075093812,0.9992188127820045
1,2,33,66,state_noise_skip1,0.006072558269242138,0.005584023892879486,0.010140861058607696,0.2067690480076887,0.7841751075093812,0.9999493918944391
1,2,33,66,state_noise_skip2,0.006055978752072558,0.005566298961639404,0.010147137800231574,0.20681309413694077,0.7841751075093812,0.9997990276149065
1,2,33,66,state_noise_skip4,0.0060424120137768525,0.005550054367631674,0.010091464826837182,0.20698407362291874,0.7841751075093812,0.9992151507125535
2,2,33,66,raw_reuse,0.014652660187267802,0.011605526320636272,0.029030683636665344,0.38324789198344617,0.7339916045123753,nan
2,2,33,66,shift_reuse,0.014623564733583462,0.011958166025578976,0.029766289237886667,0.3872285301345004,0.7339916045123753,nan
2,2,33,66,shift_local_r2,0.013032188718659427,0.011683440767228603,0.026927567273378368,0.3273018609540159,0.7339916045123753,nan
2,2,33,66,shift_rank8_oracle,0.010807130135356707,0.009545739740133286,0.01923941634595394,0.19971699341711344,0.7339916045123753,nan
2,2,33,66,state_skip1,0.010824560923579004,0.00956576969474554,0.019312019180506467,0.1997605230015271,0.7339916045123753,0.9998201617571159
2,2,33,66,state_skip2,0.010834813109664686,0.009577710181474686,0.019378396030515433,0.19989650703553677,0.7339916045123753,0.9992578115232738
2,2,33,66,state_skip4,0.010847399309821891,0.009590634144842625,0.019495672825723887,0.20038766125460958,0.7339916045123753,0.9972239670181018
2,2,33,66,state_noise_skip1,0.010821524273083015,0.0095558175817132,0.01931429747492075,0.19976079850522593,0.7339916045123753,0.9998189014685828
2,2,33,66,state_noise_skip2,0.010829709086612101,0.009558741934597492,0.019382546376436948,0.1998974253811995,0.7339916045123753,0.9992540079768679
2,2,33,66,state_noise_skip4,0.010841243133764467,0.009556607343256474,0.01950327083468437,0.20039959974822516,0.7339916045123753,0.9971744621794993
3,2,33,66,raw_reuse,0.007738052067564016,0.006751226726919413,0.01330827036872506,0.30560787789418875,0.6777246718066551,nan
3,2,33,66,shift_reuse,0.010137261791118091,0.009245559573173523,0.01758872978389263,0.35914217911882423,0.6777246718066551,nan
3,2,33,66,shift_local_r2,0.008058484904861487,0.007521068211644888,0.014984394423663614,0.29478809783773935,0.6777246718066551,nan
3,2,33,66,shift_rank8_oracle,0.007652181789151074,0.007320776116102934,0.01300585577264428,0.20388249664445648,0.6777246718066551,nan
3,2,33,66,state_skip1,0.007669623387164516,0.00733574666082859,0.013000479387119412,0.20392615462232674,0.6777246718066551,0.9997362689130028
3,2,33,66,state_skip2,0.007687016341117803,0.007352656219154596,0.012986351456493139,0.20405400844057264,0.6777246718066551,0.9989639905399844
3,2,33,66,state_skip4,0.007712846337060239,0.007378994021564722,0.012936892686411737,0.20454722304059467,0.6777246718066551,0.9959798426292868
3,2,33,66,state_noise_skip1,0.007662912308494949,0.007332526613026857,0.012953827437013387,0.20392185264508128,0.6777246718066551,0.9997624685935254
3,2,33,66,state_noise_skip2,0.007673673455580405,0.007346125785261393,0.012895317608490584,0.20403847877546125,0.6777246718066551,0.9990578694805383
3,2,33,66,state_noise_skip4,0.007686172276592516,0.007365439552813768,0.01276278421282768,0.20449815213531114,0.6777246718066551,0.996276921422785
4,2,33,66,raw_reuse,0.008557020761889963,0.007391201797872782,0.01403648960404098,0.2750295218237639,0.6353632333543988,nan
4,2,33,66,shift_reuse,0.013469505125166596,0.012252897024154663,0.019588689040392637,0.3718980734762573,0.6353632333543988,nan
