sample_id,split,block,target_step,branch,horizon,target_visible,base_renderer,residual_target_sq,output_target_sq,defect_total_energy,tokens,channels,estimated_exact_block_macs,base_renderer_macs,base_fit_and_rollout_ms,rank,error_sq,residual_relative_l2,output_relative_l2,defect_remaining_energy,state_factor_values,state_factor_bytes_fp16,render_macs,render_to_exact_macs,base_plus_render_macs,base_plus_render_to_exact_macs,svd_ms
p05_seed2026082206,selection,20,6,1,2,True,causal_current_input_channel_diagonal,647790.4319353965,4945680.184531062,168300.2586792333,7800,1536,475206451200,95846400,2.5921170599758625,64,47503.615027266555,0.27079838242601556,0.09800547002518198,0.28225515092084835,597504,1195008,1533542400,0.003227107704719645,1629388800,0.0034288019362646227,9.225011803209782
p05_seed2026082206,selection,20,6,1,2,True,causal_current_input_channel_diagonal,647790.4319353965,4945680.184531062,168300.2586792333,7800,1536,475206451200,95846400,2.5921170599758625,96,40226.84950360347,0.24919581576526223,0.09018721911699612,0.23901834568153696,896256,1792512,2300313600,0.004840661557079467,2396160000,0.005042355788624445,9.225011803209782
p05_seed2026082206,selection,20,6,1,3,True,causal_current_input_channel_diagonal,647790.4319353965,4945680.184531062,220441.71541416296,7800,1536,475206451200,143769600,2.5156200863420963,0,220441.71541416296,0.5833505698297337,0.21112218719120504,1.0,0,0,0,0.0,143769600,0.0003025413473174667,0.0
p05_seed2026082206,selection,20,6,1,3,True,causal_current_input_channel_diagonal,647790.4319353965,4945680.184531062,220441.71541416296,7800,1536,475206451200,143769600,2.5156200863420963,8,93711.27497605917,0.38034582970054515,0.13765212139737892,0.4251068122930694,74688,149376,191692800,0.0004033884630899556,335462400,0.0007059298104074224,8.995821699500084
p05_seed2026082206,selection,20,6,1,3,True,causal_current_input_channel_diagonal,647790.4319353965,4945680.184531062,220441.71541416296,7800,1536,475206451200,143769600,2.5156200863420963,16,82508.33287829143,0.3568877501994266,0.12916233616750109,0.37428638535188696,149376,298752,383385600,0.0008067769261799112,527155200,0.001109318273497378,8.995821699500084
p05_seed2026082206,selection,20,6,1,3,True,causal_current_input_channel_diagonal,647790.4319353965,4945680.184531062,220441.71541416296,7800,1536,475206451200,143769600,2.5156200863420963,32,69273.41232600185,0.32701375909109603,0.11835054876363818,0.3142482001028524,298752,597504,766771200,0.0016135538523598225,910540800,0.0019160951996772893,8.995821699500084
p05_seed2026082206,selection,20,6,1,3,True,causal_current_input_channel_diagonal,647790.4319353965,4945680.184531062,220441.71541416296,7800,1536,475206451200,143769600,2.5156200863420963,64,54797.52960609915,0.29084608714422483,0.10526099609676386,0.24858058049402412,597504,1195008,1533542400,0.003227107704719645,1677312000,0.0035296490520371118,8.995821699500084
p05_seed2026082206,selection,20,6,1,3,True,causal_current_input_channel_diagonal,647790.4319353965,4945680.184531062,220441.71541416296,7800,1536,475206451200,143769600,2.5156200863420963,96,46008.46989602916,0.2665027105758133,0.09645081030018145,0.20871036042332472,896256,1792512,2300313600,0.004840661557079467,2444083200,0.0051432029043969344,8.995821699500084
p05_seed2026082206,selection,21,4,0,1,True,causal_current_input_channel_diagonal,4064605.5175478663,9066351.068580048,955003.8417585033,7800,1536,475206451200,47923200,2.242010086774826,0,955003.8417585033,0.4847226994926933,0.3245534973475872,1.0,0,0,0,0.0,47923200,0.0001008471157724889,0.0
p05_seed2026082206,selection,21,4,0,1,True,causal_current_input_channel_diagonal,4064605.5175478663,9066351.068580048,955003.8417585033,7800,1536,475206451200,47923200,2.242010086774826,8,42309.40801798843,0.10202562719329515,0.06831281918367056,0.04430286696617698,74688,149376,191692800,0.0004033884630899556,239616000,0.0005042355788624445,9.206308051943779
p05_seed2026082206,selection,21,4,0,1,True,causal_current_input_channel_diagonal,4064605.5175478663,9066351.068580048,955003.8417585033,7800,1536,475206451200,47923200,2.242010086774826,16,37814.60855626222,0.09645408008281758,0.06458230459824914,0.039596289589631406,149376,298752,383385600,0.0008067769261799112,431308800,0.0009076240419524002,9.206308051943779
p05_seed2026082206,selection,21,4,0,1,True,causal_current_input_channel_diagonal,4064605.5175478663,9066351.068580048,955003.8417585033,7800,1536,475206451200,47923200,2.242010086774826,32,32260.16071304248,0.08908899548785074,0.05965089955767839,0.033780137216047994,298752,597504,766771200,0.0016135538523598225,814694400,0.0017144009681323113,9.206308051943779
p05_seed2026082206,selection,21,4,0,1,True,causal_current_input_channel_diagonal,4064605.5175478663,9066351.068580048,955003.8417585033,7800,1536,475206451200,47923200,2.242010086774826,64,25776.79688356456,0.07963523638143846,0.05332099055139725,0.026991301855634448,597504,1195008,1533542400,0.003227107704719645,1581465600,0.003327954820492134,9.206308051943779
p05_seed2026082206,selection,21,4,0,1,True,causal_current_input_channel_diagonal,4064605.5175478663,9066351.068580048,955003.8417585033,7800,1536,475206451200,47923200,2.242010086774826,96,21885.865794452955,0.07337914796925889,0.0491321308672652,0.022917044840689117,896256,1792512,2300313600,0.004840661557079467,2348236800,0.004941508672851956,9.206308051943779
p05_seed2026082206,selection,21,4,0,2,True,causal_current_input_channel_diagonal,4064605.5175478663,9066351.068580048,1984531.5703251665,7800,1536,475206451200,95846400,2.1088668145239353,0,1984531.5703251665,0.6987467563946991,0.46785657817454995,1.0,0,0,0,0.0,95846400,0.0002016942315449778,0.0
