split,sampling_step,branch,layer,method,router,density,tail_group_size,records,aggregate_output_relative_l2,record_error_p95,record_error_max,selected_attention_mass_mean,attention_work_ratio_mean,flop_proxy_speedup
calibration,9,cond,0,centroid,moment,0.375,4,12,0.060166067156825244,0.1821261289493616,0.21159047233919107,0.7640192906061808,0.5469322344322344,1.828380075345333
calibration,9,cond,0,centroid,moment,0.375,8,12,0.06947883649144197,0.21045172466219275,0.24486737366027767,0.7640192906061808,0.46881613756613755,2.1330323763842847
calibration,9,cond,0,centroid,oracle_mass,0.125,16,12,0.12569859564348101,0.3402313006936122,0.40876113106380063,0.6173186351855596,0.19533984533984536,5.119283258672778
calibration,9,cond,0,centroid,oracle_mass,0.125,4,12,0.10195240903461117,0.2768171356525505,0.3304219484457541,0.6173186351855596,0.3593864468864469,2.782520066250478
calibration,9,cond,0,centroid,oracle_mass,0.125,8,12,0.11777257938209161,0.31904824397435744,0.38274053575444406,0.6173186351855596,0.25001271876271874,3.9997965101490567
calibration,9,cond,0,centroid,oracle_mass,0.25,16,12,0.09269198614658183,0.2602651866930036,0.30826592699768074,0.7009074588616689,0.31255596255596246,3.199427046031644
calibration,9,cond,0,centroid,oracle_mass,0.25,4,12,0.07535156068794935,0.21056151638320159,0.24869027782704484,0.7009074588616689,0.45315934065934077,2.2067293119127003
calibration,9,cond,0,centroid,oracle_mass,0.25,8,12,0.08709851057676325,0.24415373471745466,0.2890540131031389,0.7009074588616689,0.3594144281644282,2.7823034403685956
calibration,9,cond,0,centroid,oracle_mass,0.375,16,12,0.07204263183553965,0.21639871386077342,0.25173152041157654,0.7647411103049914,0.42977207977207993,2.3268147166058992
calibration,9,cond,0,centroid,oracle_mass,0.375,4,12,0.05863623823085921,0.17585899888758671,0.20395657158975086,0.7647411103049914,0.5469322344322344,1.828380075345333
calibration,9,cond,0,centroid,oracle_mass,0.375,8,12,0.06764056311036527,0.20288433858026478,0.2359785766686263,0.7647411103049914,0.46881613756613755,2.1330323763842847
calibration,9,cond,14,centroid,moment,0.125,16,12,0.1659488911818546,0.36385726514668926,0.37182884901870855,0.7212365468343099,0.19536019536019536,5.11875
calibration,9,cond,14,centroid,moment,0.125,4,12,0.15488375858029982,0.33620899981848706,0.3583351119856621,0.7212365468343099,0.3594017094017094,2.7824019024970275
calibration,9,cond,14,centroid,moment,0.125,8,12,0.16159845672826784,0.35493965294657803,0.35878341812810627,0.7212365468343099,0.25003052503052503,3.9995116591380784
calibration,9,cond,14,centroid,moment,0.25,16,12,0.10977840599414013,0.23125462809914654,0.2422891607961334,0.8161415259043375,0.3125763125763125,3.1992187500000004
calibration,9,cond,14,centroid,moment,0.25,4,12,0.10320254020750837,0.2219664556872774,0.2304444153172018,0.8161415259043375,0.4531746031746033,2.206654991243432
calibration,9,cond,14,centroid,moment,0.25,8,12,0.10716536619474258,0.2285609487834171,0.231812614898383,0.8161415259043375,0.35943223443223443,2.7821656050955412
calibration,9,cond,14,centroid,moment,0.375,16,12,0.06935879964366484,0.16638979852829738,0.16949155231804713,0.8732227782408396,0.42975172975172987,2.326924898191116
calibration,9,cond,14,centroid,moment,0.375,4,12,0.06324969696699527,0.14732587792616206,0.15175496142309702,0.8732227782408396,0.5469169719169719,1.8284310989562986
calibration,9,cond,14,centroid,moment,0.375,8,12,0.06699104258604223,0.15968732009058365,0.1630270159617532,0.8732227782408396,0.46879833129833126,2.1331133949016245
calibration,9,cond,14,centroid,oracle_mass,0.125,16,12,0.13215657527398522,0.30287871056675997,0.32217155536543435,0.7415079548954964,0.19536019536019536,5.11875
calibration,9,cond,14,centroid,oracle_mass,0.125,4,12,0.11375463951911587,0.2552098903269314,0.27697637142934495,0.7415079548954964,0.3594017094017094,2.7824019024970275
