case,head,method,requested_token_budget,actual_critical_tokens,rank,keys,representation_ratio_full_n,attention_rel_fro,output_rel_l2,output_cosine,critical_mass
f81,1,block64_oracle,256,256,16,32760,0.008791208791208791,0.6678151488304138,0.2343529313802719,0.9721636772155762,0.24993115663528442
f81,1,block64_oracle,256,256,32,32760,0.009768009768009768,0.6315723061561584,0.2174416333436966,0.9760766625404358,0.24993115663528442
f81,1,block64_oracle,256,256,64,32760,0.011721611721611722,0.5742613673210144,0.19858235120773315,0.9800841212272644,0.24993115663528442
f81,1,block128_oracle,256,256,8,32760,0.008302808302808303,0.7217462062835693,0.28387531638145447,0.9589052796363831,0.22014719247817993
f81,1,block128_oracle,256,256,16,32760,0.008791208791208791,0.6995751857757568,0.2541359066963196,0.9671831130981445,0.22014719247817993
f81,1,block128_oracle,256,256,32,32760,0.009768009768009768,0.6622030735015869,0.23742777109146118,0.9714100956916809,0.22014719247817993
f81,1,block128_oracle,256,256,64,32760,0.011721611721611722,0.6025256514549255,0.21818239986896515,0.9759079813957214,0.22014719247817993
f81,1,token_topk_oracle,512,512,8,32760,0.016117216117216115,0.05411544069647789,0.018562134355306625,0.9998278021812439,0.8391945958137512
f81,1,token_topk_oracle,512,512,16,32760,0.016605616605616606,0.05130232125520706,0.016953039914369583,0.9998562335968018,0.8391945958137512
f81,1,token_topk_oracle,512,512,32,32760,0.017582417582417582,0.04821625351905823,0.015326282009482384,0.9998825192451477,0.8391945958137512
f81,1,token_topk_oracle,512,512,64,32760,0.019536019536019536,0.04446018859744072,0.014101658947765827,0.9999006390571594,0.8391945958137512
f81,1,block16_oracle,512,512,8,32760,0.016117216117216115,0.20804370939731598,0.08194968104362488,0.9966855049133301,0.6741005182266235
f81,1,block16_oracle,512,512,16,32760,0.016605616605616606,0.19946600496768951,0.06963387876749039,0.9975813627243042,0.6741005182266235
f81,1,block16_oracle,512,512,32,32760,0.017582417582417582,0.18699370324611664,0.0649571418762207,0.9978913068771362,0.6741005182266235
f81,1,block16_oracle,512,512,64,32760,0.019536019536019536,0.17128413915634155,0.056633420288562775,0.9983952045440674,0.6741005182266235
f81,1,block32_oracle,512,512,8,32760,0.016117216117216115,0.3683539628982544,0.13590407371520996,0.9907833933830261,0.5173872113227844
